estimate,se,z,p,N,delta_PSE
-0.1968540333707535,0.5698003575569942,-0.3454789572522569,0.7297343272379553,50,0.7115808417555431
-0.04064931178120652,0.6793676416356285,-0.059834041673430684,0.9522878128020954,50,0.11989172525625591
-0.31983471227914156,0.5737611225011947,-0.5574353153885493,0.5772300423801813,50,1.0907376338268069
-0.8281266346617974,0.6471807992450117,-1.2795908587335618,0.20068906647052,50,3.4110358289403617
-0.32160435079093813,0.5748662265361689,-0.5594420683377956,0.5758600576234629,50,1.3689832292586974
-1.1540458140150882,0.5577100441399332,-2.0692577193849684,0.038521908947632806,50,5.100643264583084
-0.3569823742384298,0.6139573627862756,-0.5814448948349835,0.5609406471872007,50,1.2475895018273349
-0.10067741788108933,0.6648272103007705,-0.15143396106718085,0.8796334013056712,50,0.3081083147703847
-0.6696461657726596,0.5917110308866865,-1.1317114787756892,0.25775575404068857,50,2.5856028823499386
0.21903112012197537,0.6524049452906465,0.3357287857841068,0.7370753965767332,50,-0.752704228571222
0.5296699391507278,0.5181348056274983,1.0222628038069352,0.3066565330057743,50,-1.620822018416888
0.3950339374091143,0.5757235606787806,0.686152112557922,0.4926171917885805,50,-1.2417739049040595
0.09682759353105211,0.4852160886804865,0.19955561200447502,0.8418281459133689,50,-0.318781859562252
0.3321732243472927,0.6459168051262614,0.5142662672824571,0.6070658425225386,50,-1.0282139061934714
-0.31389770617462037,0.537246113640193,-0.5842717112419084,0.5590375214473268,50,0.9665851004527592
-0.7744841443017659,0.4943279119555685,-1.5667416821313918,0.11717508366091016,50,2.8030154336668343
1.0899750722489132,0.5582952683535578,1.9523272612775444,0.05089936284668496,50,-2.9567001462962352
0.721816682208603,0.6574969498734585,1.0978251417706553,0.27228085073570985,50,-2.257950621076912
0.7104302306579955,0.613054409068466,1.1588371605343997,0.24652256713951962,50,-1.8966742888755164
-0.18973834170069426,0.5081379333286679,-0.37339928640590175,0.7088512905244099,50,0.6895627563571285
-0.023947580466820915,0.7346955761427911,-0.03259524249832505,0.9739973637525631,50,0.08106270791572712
-0.5992123606315258,0.3744417732436823,-1.6002818153560168,0.10953607910370891,50,2.1979598926451533
-1.205047286959751,0.6064371946888403,-1.98709330086202,0.046912058490502416,50,4.906190530115568
0.22248359249150404,0.6707829174907296,0.3316774871425953,0.7401328019221507,50,-0.7557064865805572
-0.09968422834694965,0.6959821647498001,-0.14322813628821265,0.8861100093583463,50,0.3356966366183016
0.04353319107558567,0.5574631099602769,0.07809160875001703,0.9377551820588145,50,-0.11936355425347678
0.059623485327891364,0.5540061570335719,0.10762242363360282,0.9142952088148739,50,-0.2159808117901285
0.22651615161218555,0.7285434233510829,0.31091647299522474,0.7558641210735603,50,-0.6801119081829388
-0.8233711320492826,0.5698563299275176,-1.4448749426965402,0.148493015746068,50,3.1460538082859486
0.8593022301666513,0.6233922758986562,1.3784293828920438,0.16807075671197388,50,-2.6408137939943526
-0.2357841531812802,0.6271445267388857,-0.3759646192040355,0.7069431993736246,50,0.875901145130884
-0.6279720777947914,0.6138915683144982,-1.0229364764187145,0.30633788155011954,50,2.2072657864799616
1.3286906872435402,0.644389663382059,2.0619366863676065,0.039213764199351304,50,-3.8794148489044105
0.1981386401418417,0.537475039426033,0.3686471475092741,0.7123907482582992,50,-0.635822362590341
-0.61550439190534,0.5597894607031235,-1.0995283675620398,0.2715376675053617,50,2.31752984443356
0.2896029200144486,0.531072039073363,0.545317581621808,0.5855351140715825,50,-0.8777801680543096
0.28321206285679995,0.6594483296122133,0.4294681632196142,0.6675825579533623,50,-0.8940854788544126
-0.24514895967608202,0.6247989880529441,-0.39236452741390904,0.69478889200496,50,0.9320617851413129
-0.23079350076126337,0.5645844591046487,-0.40878472129266413,0.6826976533485039,50,0.7349573435327468
-0.20623902184350512,0.625181572281474,-0.32988659773012413,0.7414856506304076,50,0.7803672313347949
0.36443664863765457,0.6056929094171452,0.6016855125287002,0.5473834953592613,50,-1.0649243133843633
0.178805004284561,0.5346103218635111,0.33445857098548665,0.7380335481644262,50,-0.6591776637908033
-1.2321783014740628,0.6154666611239373,-2.0020228215512352,0.045282277109588924,50,4.750642950536344
-1.013448031662176,0.6682202017023546,-1.5166378225027026,0.12935815057592062,50,3.8662613989675716
-0.21992081493715812,0.5666371500862526,-0.3881157719780324,0.6979303606877922,50,0.8377501510472936
-0.20421277445397829,0.6738829582363833,-0.30303893570542695,0.7618601894163006,50,0.7698613487476607
0.6995441140232039,0.6345020425063603,1.1025088449832556,0.270240515318066,50,-2.0023663769790048
-0.7768631882508337,0.6290343792321638,-1.2350091090396655,0.21682711404505473,50,2.5520786515976717
0.578392285448264,0.5022188935559792,1.15167368824565,0.24945518835226652,50,-1.8258935525618298
0.6289881873326297,0.5546332170628747,1.1340615166605248,0.2567687446710515,50,-2.0559026243957508
-1.1651967146033164,0.6337930735228012,-1.8384497453195936,0.06599616065419325,50,3.9915986192467425
-0.6258653951981662,0.5808715468994645,-1.077459205118355,0.2812751664787613,50,2.1049403778436844
1.1050036213271517,0.5726220360743047,1.929725982783806,0.0536407987949626,50,-3.429170157252134
0.1250310659432506,0.43850839520480156,0.2851281008767368,0.7755460018354325,50,-0.4170841042985458
-0.16714508317722945,0.5683692884183,-0.2940783159525968,0.7686980600133851,50,0.5721475786844277
-1.4330636374469576,0.5099430555950085,-2.8102424804566453,0.004950418763281453,50,5.309856385049338
-0.4990405030960236,0.6276267205643666,-0.7951230990409118,0.4265418991886262,50,1.6455316406602876
