estimate,se,z,p,N,delta_PSE,n_per_group,sim,ES
-1.0848464811710001,0.4620697992168557,-2.347797850042709,0.018884767472698162,50,3.77197689309836,25,1,0.5
-0.6128021756367181,0.4955017902236959,-1.23673049770429,0.21618715240685546,50,2.662462354033483,25,2,0.5
-1.4632614059187095,0.5956240126383573,-2.4566863908610617,0.014022503864299608,50,3.415454696606618,25,3,0.5
-1.3525211091665406,0.44354836092487265,-3.049320498775618,0.0022935965064797953,50,3.7322955304112675,25,4,0.5
-1.0323434955646986,0.5506077606697433,-1.874916354809431,0.060804231715227405,50,4.168389424038047,25,5,0.5
0.035193300293403326,0.4428514405998831,0.07946976585586074,0.9366589788876443,50,4.739215485728025,25,6,0.5
-1.6434256541756764,0.4546111762752294,-3.6150137522811767,3.0033167849527367e-4,50,4.860300955815221,25,7,0.5
-0.42968171186731596,0.5062669094434971,-0.8487256501508943,0.3960339699101079,50,2.345294193015121,25,8,0.5
-0.23429368329565883,0.4889375065342154,-0.47918942638789597,0.631803875681344,50,2.5479147971747764,25,9,0.5
-0.8972909581674915,0.4815171106671238,-1.8634664029370185,0.06239667515536726,50,3.4114341752522037,25,10,0.5
-1.095574413852773,0.47716556280461,-2.2960047816807547,0.021675607974136504,50,3.0414584037938557,25,11,0.5
-0.4378692379385925,0.5321836516304143,-0.8227784461193477,0.4106339958470424,50,2.742284269402756,25,12,0.5
-0.6888283567984574,0.47947600492228987,-1.4366273801545042,0.15082389940631255,50,4.653359614941865,25,13,0.5
-1.0721632557763616,0.584565801882762,-1.834119020173866,0.06663632863434572,50,3.2644538105696075,25,14,0.5
-0.32718725787313524,0.4344068339337548,-0.753181654418977,0.4513407619736876,50,3.9470206658909444,25,15,0.5
-1.1358989540588618,0.42633182810529036,-2.6643540997326873,0.007713631904411971,50,3.8496762016912722,25,16,0.5
-0.9762597203913017,0.42259917103885425,-2.310131650261906,0.020880866660952156,50,3.747620817031059,25,17,0.5
-1.3869475059877312,0.47673144775716714,-2.9092846979421445,0.003622568070440175,50,2.6795532468894567,25,18,0.5
-1.4117193067799634,0.5090304529204976,-2.7733494109839656,0.005548251250415606,50,5.4629092058346185,25,19,0.5
-1.4001212189828571,0.4550537289107593,-3.0768261636582155,0.002092172734478319,50,4.521729208764587,25,20,0.5
-2.0547161835262377,9.707635517463476e-4,-2116.5979911688296,0,50,2.0847830399102687,25,21,0.5
-1.1309354112357366,0.5275111297013811,-2.1439081519966185,0.032040246889674225,50,3.3169417208007363,25,22,0.5
-0.5796077765868238,0.4640769873874172,-1.248947464190807,0.21168428970992872,50,3.9359365406965576,25,23,0.5
-0.6737520898340092,0.4486216518854682,-1.50182695597139,0.13314180476845008,50,3.6527280234726867,25,24,0.5
-0.3077413899948087,0.39993220322262085,-0.7694838963080589,0.44160610080733204,50,1.9610221070642364,25,25,0.5
-1.9294531210385437,8.743968812903728e-4,-2206.6102502460826,0,50,4.7651168334853935,25,26,0.5
-1.0085711574891447,0.42495253546956646,-2.3733736671901204,0.017626421724049247,50,4.390132121638979,25,27,0.5
-0.3930447102161252,9.401263635851173e-4,-418.07646869647607,0,50,3.3078943984426505,25,28,0.5
-0.8258146687775536,0.4332903809827692,-1.9059150745614961,0.056661224920872784,50,2.662290853009159,25,29,0.5
-0.684577572973159,0.4502240198036778,-1.5205265442560618,0.12837869260184723,50,2.7768465357980894,25,30,0.5
-0.6781470294220882,0.5144252615315043,-1.3182615243333211,0.18741611615778564,50,4.028578201121231,25,31,0.5
-1.5804249170076456,0.4583464477408225,-3.448101157536004,5.645425602511562e-4,50,6.108468763686487,25,32,0.5
-0.9324831260217662,0.4705274907790745,-1.9817824554263768,0.04750359391525654,50,4.167367150320789,25,33,0.5
-1.0838911223931995,0.42093264051915724,-2.5749752289496546,0.010024726584113835,50,2.847002909758819,25,34,0.5
-0.17610249016499954,0.45809640493309867,-0.38442233614716514,0.7006654481575982,50,2.8072724028708027,25,35,0.5
-1.6078852898659817,0.5860189695882461,-2.743742734122973,0.006074312154937345,50,4.0371704583297685,25,36,0.5
-1.8132653812477677,0.4514657596844248,-4.0163962434609495,5.909486362190717e-5,50,4.943334447012441,25,37,0.5
-0.6293112370280345,0.46732654908243254,-1.3466199133424992,0.1781026773690436,50,2.8830966871785346,25,38,0.5
-0.3839765315173378,0.45732619995579443,-0.8396119259173284,0.40112601031870415,50,3.786234192868598,25,39,0.5
-1.6315926111541905,0.5044625665288922,-3.234318499350425,0.0012193339419912055,50,3.7228765213924646,25,40,0.5
-0.8483546741398192,0.4776187113512303,-1.776217417738389,0.07569708848541659,50,3.1634592895823204,25,41,0.5
-1.340118253941918,0.5110581663000687,-2.62224212880509,0.00873533460147085,50,2.7603081862265704,25,42,0.5
0.4934434414201784,0.5029138425933708,0.9811689391479931,0.32650943860948034,50,3.8971135884706136,25,43,0.5
-0.4809161960670189,0.4259853435143659,-1.128950099783892,0.25891888454253836,50,2.3562764606626008,25,44,0.5
-0.32050418910766476,0.45316287003462535,-0.7072604802842202,0.4794046198151425,50,5.008908460625907,25,45,0.5
-1.6346971544628994,0.40717795029603043,-4.014699600689148,5.9521554546236366e-5,50,4.9943181152154175,25,46,0.5
-0.6418938667693254,0.4306093020092747,-1.4906641908899123,0.13604968206680076,50,4.194293884360693,25,47,0.5
-0.8572604401581687,0.4310727620871445,-1.9886676114898376,0.04673790320320123,50,3.313802768036531,25,48,0.5
-0.7477753900887099,0.5859836125900177,-1.2761029046248933,0.2019191449732521,50,2.9210451319888477,25,49,0.5
